;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tudo;Ao vivo;Música;Música sertaneja;Jogos;Deep House;Música brasileira;Lista de reprodução;Soft Rock;Rock clássico;Animação;Destinos turísticos;Jazz;Comédia;Música indie;Música clássica;Música infantil;Minecraft Bedrock;Sombra;Jogo de ação e aventura;Enviados recentemente
1;Tudo;Ao vivo;Música;Jogos;Música sertaneja;Deep House;Lista de reprodução;Música brasileira;Comédia/dramas;Comédia;Chill out;Piano;Música indie;Minecraft Bedrock;Música infantil;Sombra;Natureza;Enviados recentemente;;;
2;Tudo;Ao vivo;Jogos;Música;Copa Libertadores da América;Lista de reprodução;Música sertaneja;Animação;Música brasileira;Anderson Freire;Comédia;Jazz;Deep House;Minijogo;Soul Music;Minecraft Bedrock;Música ambiente;Piano;Sombra;Música infantil;Enviados recentemente
3;Tudo;Ao vivo;Música;Jogos;Bob Esponja;Música sertaneja;Música brasileira;Minecraft Bedrock;Dance/Eletrônica;Sombra;Filmes de comédia;Música pop;Jogo de ação e aventura;Enviados recentemente;;;;;;;
4;Tudo;Música;Ao vivo;Jogos;Música sertaneja;Soft Rock;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Lista de reprodução;Música brasileira;Hard rock;Contemporary worship music;Música indie;Comédia;Música clássica;Sombra;Música infantil;Natureza;Filmes de comédia;Jogo de ação e aventura;Aulas;Enviados recentemente
5;Tudo;Música;Ao vivo;Soft Rock;Soul Music;Jogos;Lista de reprodução;Música sertaneja;Copa Libertadores da América;Música brasileira;Animação;Destinos turísticos;Blues;Comédia;Piano;Hard rock;Música infantil;Minecraft Bedrock;Sombra;Natureza;Enviados recentemente
6;Tudo;Música;Ao vivo;Jogos;Música sertaneja;Lista de reprodução;Música brasileira;Comédia;Soft Rock;Copa Libertadores da América;Rock alternativo;Música indie;Sombra;Música clássica;Minecraft Bedrock;Violão;Filmes de comédia;Jogo de ação e aventura;Enviados recentemente;;
7;Tudo;Ao vivo;Música;Kygo;Jogos;Música sertaneja;Copa Libertadores da América;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Música brasileira;Rock clássico;Soul Music;Comédia;Blues;Contemporary worship music;Música New Age;Minecraft Bedrock;Dance/Eletrônica;Sombra;Música infantil;Filmes de comédia;Enviados recentemente
8;Tudo;Música;Ao vivo;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Lista de reprodução;Música sertaneja;Jogos;Música brasileira;Blues;Hino;Rock alternativo;Comédia;campainha de elevador;Piano;Música indie;Sombra;Natureza;Jogo de ação e aventura;Enviados recentemente;;
9;Tudo;Jogos;Música;Ao vivo;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Lista de reprodução;Coldplay;Copa Libertadores da América;Música sertaneja;Música popular brasileira;Sombra;Animação;Samba;Chill out;Soft Rock;Comédia;Música brasileira;Contemporary worship music;Música infantil;Piano;Enviados recentemente
