;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tudo;Ao vivo;Música;Kygo;Música sertaneja;Lista de reprodução;Anderson Freire;Contemporary worship music;Música brasileira;Jazz;Jogos;Rock alternativo;Música indie;Música clássica;Animação;Minijogo;Comédia;Minecraft Bedrock;Copa Libertadores da América;Sombra;Enviados recentemente
1;Tudo;Música;Ao vivo;Lista de reprodução;Dua Lipa;Soft Rock;Contemporary worship music;Música sertaneja;Música popular brasileira;Música brasileira;Jazz;Jogos;Chill out;Animação;Hard rock;Comédia;Sombra;Minecraft Bedrock;Natureza;Enviados recentemente;
2;Tudo;Ao vivo;Música;Lista de reprodução;Deep House;Música sertaneja;Contemporary worship music;Hino;Rock clássico;Blues;Música brasileira;Jogos;Chill out;Rock alternativo;Animação;Sitcoms;Música clássica;Comédia;Minecraft Bedrock;Copa Libertadores da América;Enviados recentemente
3;Tudo;Ao vivo;Música;Kygo;Música sertaneja;Música brasileira;Anderson Freire;Hino;Lista de reprodução;Jogos;Blues;Animação;Comédia;Música indie;Five Nights at Freddy’s;Dublagens;Música clássica;Copa Libertadores da América;Minijogo;Podcast;Enviados recentemente
4;Tudo;Ao vivo;Música;Kygo;Lista de reprodução;Música sertaneja;Música brasileira;Damares;Contemporary worship music;Soul Music;Blues;Chill out;Jogos;Animação;Música indie;Sitcoms;Comédia;Copa Libertadores da América;Música infantil;Sombra;Enviados recentemente
5;Tudo;Música;Ao vivo;Jogos;Música sertaneja;Anderson Freire;Música popular brasileira;Kygo;Lista de reprodução;Sombra;Contemporary worship music;Soft Rock;Bob Esponja;Samba;Música brasileira;Hino;Sitcoms;Chill out;Hard rock;Animação;Enviados recentemente
6;Tudo;Ao vivo;Música;Kygo;Música sertaneja;Lista de reprodução;Música brasileira;Rock clássico;Contemporary worship music;Jogos;Blues;Rock progressivo;Música indie;Animação;Comédia;Música clássica;Música infantil;Minecraft Bedrock;Copa Libertadores da América;Sombra;Enviados recentemente
7;Tudo;Ao vivo;Música;Kygo;Lista de reprodução;Música sertaneja;Música popular brasileira;Música brasileira;Soft Rock;Soul Music;Contemporary worship music;Jogos;Hino;Blues;Hard rock;Animação;Comédia;Música clássica;Minecraft Bedrock;Copa Libertadores da América;Enviados recentemente
8;Tudo;Ao vivo;Música;Marília Mendonça;Música sertaneja;Coldplay;Lista de reprodução;Música brasileira;Soft Rock;Damares;Jogos;Hino;Blues;Animação;Música indie;campainha de elevador;Comédia;Música clássica;Minecraft Bedrock;Copa Libertadores da América;Enviados recentemente
9;Tudo;Ao vivo;Música;Música sertaneja;Lista de reprodução;Música brasileira;Deep House;Jogos;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Contemporary worship music;Hino;Blues;Chill out;Animação;Música indie;Minijogo;Comédia;Minecraft Bedrock;Música clássica;Copa Libertadores da América;Enviados recentemente
