;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Todo;Videojuegos;Música;En directo;Comedia;Bad Bunny;El Rubius;Kygo;Álbumes;Chill out;Álbumes de grandes éxitos;Bossa nova;Pop latino;Tenis;Música soul;Música independiente;Perros;Música clásica;Música infantil;Películas de comedia;Subidas recientes
1;Todo;En directo;Videojuegos;Música;Deep house;El Rubius;Reggaeton;Pop latino;Naturaleza;Juegos de acción y aventuras;Películas de comedia;Subidas recientes;;;;;;;;;
2;Todo;En directo;Música;Videojuegos;Deep house;Bad Bunny;Reggaeton;Pop latino;El Rubius;Risas;Comedia;Chill out;Álbumes;Jazz;Pódcast;Concursos televisivos;Música clásica;Música independiente;Rap;Juegos de acción y aventuras;Subidas recientes
3;Todo;En directo;Música;Kygo;Videojuegos;Chill out;El Rubius;Comedia;Reggaeton;Pop latino;Álbumes de grandes éxitos;Blues;Música ambiental;Pop rock;Música independiente;Historia;Audio comentario;Ciencia;Subidas recientes;;
4;Todo;En directo;Música;Kygo;Videojuegos;Música house;Listas de reproducción;Chill out;El Rubius;Reggaeton;Comedia;Pop latino;Blues;Álbumes;Música ambiental;Piano;Historia;Flamenco;Juegos de acción y aventuras;Conversaciones;Subidas recientes
5;Todo;Música;En directo;Videojuegos;Kygo;Listas de reproducción;Blues;Rock clásico;Álbumes;Risas;Comedia;El Rubius;Pop latino;Música ambiental;Bad Bunny;Música independiente;Pódcast;Historia;Equipos;Competiciones;Subidas recientes
6;Todo;En directo;Música;Videojuegos;Kygo;Música house;El Rubius;Chill out;Comedia;Reggaeton;Pop latino;Álbumes de grandes éxitos;Blues;Piano;Historia;Juegos de acción y aventuras;Subidas recientes;;;;
7;Todo;En directo;Kygo;Música;Videojuegos;Chill out;Rock melódico;Blues;Electronic dance music;Comedia;El Rubius;Reggaeton;Pop latino;Reggae;Historia;Música clásica;Música new age;Música independiente;Juegos de acción y aventuras;Subidas recientes;
8;Todo;En directo;Música;Videojuegos;Robin Schulz;Dua Lipa;Música house;El Rubius;Listas de reproducción;Risas;Comedia;Blues rock;Reggaeton;Años 1980;Pop latino;Música de fondo;Banda sonora;Historia;Música independiente;Audio comentario;Subidas recientes
9;Todo;Música;En directo;Videojuegos;Kygo;Blues rock;Listas de reproducción;Años 1980;Chill out;Bad Bunny;El Rubius;Álbumes;Reggaeton;Historia;Música instrumental;Flamenco;Comedia;Concursos televisivos;Juegos de acción y aventuras;Coches;Subidas recientes
