;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Todo;En directo;Música;Henrique e Juliano;Música sertaneja;Listas de reproducción;Música brasileña;Himno;Videojuegos;Deep house;Animación;Música independiente;Minecraft Bedrock;Música infantil;Historia;Películas de comedia;Subidas recientes;;;;
1;Todo;En directo;Música;Kygo;Música sertaneja;Listas de reproducción;Música brasileña;Videojuegos;Chill out;Damares;Hard rock;Animación;Pop rock;Piano;Comedia;Minecraft Bedrock;Música infantil;Juegos de acción y aventuras;Lecciones;Subidas recientes;
2;Todo;Música;En directo;Listas de reproducción;Videojuegos;Música sertaneja;Música brasileña;Deep house;Himno;Blues;Animación;Hard rock;Chill out;Minijuego;Minecraft Bedrock;Comedia;Historia;Subidas recientes;;;
3;Todo;En directo;Música;Kygo;Música sertaneja;Listas de reproducción;Videojuegos;Música brasileña;Años 1980;Damares;Blues;Chill out;Música clásica;Animación;Minecraft Bedrock;Comedia;Música infantil;Pódcast;Historia;Lecciones;Subidas recientes
4;Todo;En directo;Música;Kygo;Listas de reproducción;Música sertaneja;Rock melódico;Música popular brasileña;Música brasileña;Videojuegos;Música soul;Música de adoración;Jazz;Hard rock;Animación;Piano;Música independiente;Comedia;Minecraft Bedrock;Música infantil;Subidas recientes
5;Todo;En directo;Música;Videojuegos;Música sertaneja;Música brasileña;Listas de reproducción;Deep house;Rock melódico;Anderson Freire;Blues;Himno;Animación;Minecraft Bedrock;Chill out;Comedia;Música independiente;Música de fondo;Piano;Música infantil;Subidas recientes
6;Todo;Música;En directo;Listas de reproducción;Videojuegos;Música soul;Música popular brasileña;Deep house;Anderson Freire;Música sertaneja;Música brasileña;Música de adoración;Blues;Rock alternativo;Chill out;Banda sonora;Conciertos;Animación;Minecraft Bedrock;Música new age;Subidas recientes
7;Todo;En directo;Música;Kygo;Listas de reproducción;Música sertaneja;Videojuegos;Música brasileña;Álbumes;Música de adoración;Blues;Animación;Música independiente;Música infantil;Minecraft Bedrock;Comedia;Música new age;Juegos de acción y aventuras;Lecciones;Ciencia;Subidas recientes
8;Todo;En directo;Música;Videojuegos;Kygo;Listas de reproducción;Música sertaneja;Música brasileña;Animación;Hard rock;Blues;Música de adoración;Minecraft Bedrock;Comedias de situaciones;Comedia;Música independiente;Música infantil;Música new age;Subidas recientes;;
9;Todo;En directo;Música;Kygo;Música sertaneja;Videojuegos;Listas de reproducción;Música brasileña;Música de adoración;Blues;Comedia;Pódcast;Minecraft Bedrock;Música clásica;Películas de comedia;Subidas recientes;;;;;
