;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;All;Live;Music;Gaming;Kygo;Playlists;Hymn;Contemporary Worship Music;Sertanejo music;Brazilian Music;Dramedy;Minigame;Classical Music;Comedy;Minecraft;Lessons;Recently uploaded;;;;
1;All;Music;Live;Samba;Brazilian Music;Playlists;Gaming;Albums;Deep House;Hymn;Hard Rock;Indie Music;Minecraft Bedrock;Dramedy;Comedy;Recently uploaded;;;;;
2;All;Live;Music;Henrique & Juliano;Gusttavo Lima;Gaming;Brazilian Music;Deep House;Playlists;Thrillers;Romantic comedies;Comedy;Podcasts;Animated films;Classical Music;Basketball;Trailers;Anime;Eating;Guitar;Recently uploaded
3;All;Music;Live;Música Popular Brasileira;Gaming;Brazilian Music;Kygo;Playlists;Hard Rock;Damares;Chill-out music;Animated films;Comedy;Minecraft Bedrock;Podcasts;Children's Music;Action-adventure games;Lessons;Recently uploaded;;
4;All;Live;Music;Kygo;Playlists;Sertanejo music;Brazilian Music;Gaming;Damares;Hard Rock;Chill-out music;Contemporary Worship Music;Animated films;New-Age Music;Comedy;Podcasts;Minecraft Bedrock;Children's Music;Action-adventure games;Lessons;Recently uploaded
5;All;Live;Music;Kygo;Playlists;Gaming;Henrique & Juliano;Sertanejo music;Anderson Freire;Classic Rock;Brazilian Music;Chill-out music;Blues music;Animated films;Hard Rock;Comedy;Classical Music;Children's Music;Lessons;Action-adventure games;Recently uploaded
6;All;Live;Music;Playlists;Kygo;Henrique & Juliano;Forró;Albums;Brazilian Music;Gaming;Anderson Freire;Rhythm & Blues;Animated films;Pop Rock;Indie Music;Minigame;Comedy;Classical Music;Children's Music;Recently uploaded;
7;All;Live;Music;Kygo;Playlists;Sertanejo music;Albums;Gaming;Classic Rock;Brazilian Music;Hard Rock;Anderson Freire;Blues music;Contemporary Worship Music;Pop Rock;Animated films;Classical Music;New-Age Music;Comedy;Minecraft Bedrock;Recently uploaded
8;All;Live;Music;Kygo;Playlists;Gaming;Sertanejo music;Classic Rock;Brazilian Music;Hard Rock;Chill-out music;Contemporary Worship Music;Animated films;New-Age Music;Comedy;Minecraft Bedrock;Classical Music;Children's Music;Lessons;Recently uploaded;
9;All;Live;Music;Kygo;Playlists;Henrique & Juliano;Sertanejo music;Albums;Brazilian Music;Gaming;Soul Music;Acoustic Guitar;Anderson Freire;Animated films;Background music;Classical Music;Podcasts;Children's Music;Comedy;Cooking shows;Recently uploaded
