;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tous;En direct;Musique;Kygo;Música sertaneja;Listes de lecture;Musique brésilienne;Jeux vidéo;Anderson Freire;Chill-out;Guitare acoustique;Hard rock;Blues;Animation;Comédie;Musiques pour enfants;Musique indépendante;Musique classique;Minecraft pocket edition;Débats;Vidéos mises en ligne récemment
1;Tous;En direct;Musique;Kygo;Listes de lecture;Jeux vidéo;Música sertaneja;Musique brésilienne;Rock classique;Soul;Chill-out;Anderson Freire;Guitare acoustique;Animation;Comédie;Musique indépendante;Piano;Minecraft pocket edition;Débats;Musiques pour enfants;Vidéos mises en ligne récemment
2;Tous;En direct;Musique;Kygo;Música sertaneja;Listes de lecture;Musique brésilienne;Jeux vidéo;Hymne;Blues;Bande-son;Reggae;Animation;Musique classique;Comédie;Minecraft pocket edition;Musiques pour enfants;Débats;Guitare;Rap;Vidéos mises en ligne récemment
3;Tous;En direct;Musique;Música sertaneja;Kygo;Musique brésilienne;Jeux vidéo;Listes de lecture;Rock classique;Anderson Freire;Animation;Comédie;Musique indépendante;Podcast;Minecraft pocket edition;Musiques pour enfants;Chiens;Leçons;Conversations;Vidéos mises en ligne récemment;
4;Tous;En direct;Musique;Henrique & Juliano;Kygo;Jeux vidéo;Musique brésilienne;Listes de lecture;Musiques d'adoration contemporaine;Guitare;Vidéos mises en ligne récemment;;;;;;;;;;
5;Tous;En direct;Musique;Forró;Música sertaneja;Deep house;Música Popular Brasileira;Jeux vidéo;Listes de lecture;Hymne;Musique indépendante;Comédie;Telenovelas;Musiques pour enfants;Minecraft pocket edition;Débats;Musique rock;Comédies;Sciences;Vidéos mises en ligne récemment;
6;Tous;Musique;Jeux vidéo;En direct;Listes de lecture;Anderson Freire;Henrique & Juliano;Kygo;Música Popular Brasileira;Musiques d'adoration contemporaine;Forró;Samba;DJ mix;Débats;Minecraft pocket edition;Dance/Électronique;Comédies;Rap;Leçons;Vidéos mises en ligne récemment;
7;Tous;En direct;Musique;Kygo;Henrique & Juliano;Música sertaneja;Listes de lecture;Musique brésilienne;Soul;Jeux vidéo;Hard rock;Musiques d'adoration contemporaine;Animation;Comédie dramatique;Comédie;Musique classique;Mini-jeu;Podcast;Débats;Musiques pour enfants;Vidéos mises en ligne récemment
8;Tous;En direct;Musique;Kygo;Listes de lecture;Música sertaneja;Musique brésilienne;Hard rock;Anderson Freire;Jeux vidéo;Blues;Animation;Musique indépendante;Comédie;Musiques pour enfants;Minecraft pocket edition;Conversations;Vidéos mises en ligne récemment;;;
9;Tous;En direct;Musique;Música sertaneja;Listes de lecture;Deep house;Musique brésilienne;Jeux vidéo;Rock alternatif;Musiques d'adoration contemporaine;Comédie dramatique;Musique classique;Musiques pour enfants;Comédies;Minecraft;Vidéos mises en ligne récemment;;;;;
