;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tudo;Ao vivo;Música;Jogos;Copa Libertadores da América;Kygo;Música sertaneja;Música brasileira;Lista de reprodução;Animação;Comédia;Programas de culinária;Panificação;Podcast;Bola;Música indie;Minecraft Bedrock;Sombra;Gadgets;Música infantil;Enviados recentemente
1;Tudo;Música;Jogos;Ao vivo;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Música sertaneja;Dublagens;Música brasileira;Soft Rock;Coldplay;Animação;Comédia;Pop rock;Chill out;Minijogo;Piano;Música infantil;Minecraft Bedrock;Sombra;Dance/Eletrônica;Enviados recentemente
2;Tudo;Ao vivo;Música;Música sertaneja;Jogos;Música brasileira;Lista de reprodução;campainha de elevador;Peixes;Smartphones;Sombra;Alimentação;Natureza;Música pop;Filmes de comédia;Minecraft;Enviados recentemente;;;;
3;Tudo;Ao vivo;Música;Lista de reprodução;Música sertaneja;Jogos;Música brasileira;violão acústico;Destinos turísticos;Soul Music;Contemporary worship music;Hard rock;Música clássica;R&B;Música New Age;História;Maquiagens;Filmes de comédia;Jogo de ação e aventura;Enviados recentemente;
4;Tudo;Ao vivo;Música;Jogos;Música sertaneja;Deep House;Lista de reprodução;Música brasileira;Comédia;Música indie;Música clássica;Maquiagens;Violão;Jogo de ação e aventura;Enviados recentemente;;;;;;
5;Tudo;Ao vivo;Música;Jogos;Copa Libertadores da América;Música sertaneja;Lista de reprodução;Música brasileira;Comédia/dramas;Comédia;Animação;Destinos turísticos;Sombra;Música New Age;Música clássica;Minijogo;Minecraft Bedrock;Banda musical;Videogames de esportes;Carros;Enviados recentemente
6;Tudo;Música;Ao vivo;Música sertaneja;Jogos;Destinos turísticos;Animação;Sombra;Minecraft Bedrock;Música pop;Filmes de comédia;Videogames de esportes;Enviados recentemente;;;;;;;;
7;Tudo;Ao vivo;Música;Kygo;Henrique & Juliano;Música sertaneja;Jogos;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Música brasileira;Animação;Comédia;Blues;Música infantil;Minecraft Bedrock;Sombra;Smartphones;Natureza;Música pop;Enviados recentemente;;
8;Tudo;Jogos;Música;Ao vivo;Stranger Things;Copa Libertadores da América;Música sertaneja;Sombra;Lista de reprodução;Comédia;campainha de elevador;Programas de jogos;Vida selvagem;Gadgets;Jazz;Turismo;Música clássica;Minecraft Bedrock;Jogo de ação e aventura;Música pop;Enviados recentemente
9;Tudo;Ao vivo;Música;Jogos;Música sertaneja;Lista de reprodução;Álbuns;Música brasileira;Sitcoms;Deep House;Animação;Piano;Sombra;Música indie;Natureza;Videogames de esportes;Violão;Jogo de ação e aventura;Enviados recentemente;;
