;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tudo;Ao vivo;Música;Deep House;Música sertaneja;Jogos;Música brasileira;Lista de reprodução;Blues;Animação;Dublagens;Minijogo;Comédia;Minecraft Bedrock;Copa Libertadores da América;Jogos de quebra-cabeça;Bola;Sombra;Podcast;Debates;Enviados recentemente
1;Tudo;Ao vivo;Música;Música sertaneja;Kygo;Lista de reprodução;Música brasileira;Jogos;Contemporary worship music;Chill out;Jazz;Animação;Copa Libertadores da América;Comédia;Música New Age;Música indie;Minecraft Bedrock;Música clássica;Sombra;História;Enviados recentemente
2;Tudo;Ao vivo;Música;Música sertaneja;Lista de reprodução;Deep House;Década de 1980;Música brasileira;Jogos;Jazz;Contemporary worship music;Rock alternativo;Animação;Piano;Comédia;Minecraft Bedrock;Copa Libertadores da América;Podcast;Sombra;Música infantil;Enviados recentemente
3;Tudo;Ao vivo;Música;Música sertaneja;Lista de reprodução;Música brasileira;Deep House;Álbuns;Anderson Freire;Soul Music;Jogos;Jazz;Animação;campainha de elevador;Piano;Comédia;Minijogo;Minecraft Bedrock;Copa Libertadores da América;Sombra;Enviados recentemente
4;Tudo;Ao vivo;Música;Música sertaneja;Kygo;Música brasileira;Lista de reprodução;Jogos;Rock clássico;Contemporary worship music;Hino;Blues;Música clássica;Animação;Comédia;Minecraft Bedrock;Música infantil;Podcast;Copa Libertadores da América;Sombra;Enviados recentemente
5;Tudo;Ao vivo;Música;Kygo;Lista de reprodução;Álbuns;Música sertaneja;Música brasileira;Damares;Chill out;Jogos;Blues;Animação;Música clássica;Comédia;Minecraft Bedrock;Copa Libertadores da América;Sombra;Aulas;Enviados recentemente;
6;Tudo;Ao vivo;Música;Ed Sheeran;Deep House;Lista de reprodução;Jogos;Música sertaneja;Música brasileira;Jazz;Contemporary worship music;Hino;Animação;campainha de elevador;Sitcoms;Comédia;Gargalhadas;Minecraft Bedrock;Formula Racing;Esportes eletrônicos;Enviados recentemente
7;Tudo;Ao vivo;Música;Lista de reprodução;Música sertaneja;Soft Rock;Música brasileira;Jogos;Álbuns;Contemporary worship music;Animação;Música ambiente;Sitcoms;Música clássica;Minecraft Bedrock;Música infantil;Sombra;Minecraft;Enviados recentemente;;
8;Tudo;Música;Ao vivo;Anderson Freire;Contemporary worship music;Deep House;Lista de reprodução;Música sertaneja;Jazz;Música brasileira;Jogos;Soul Music;Hard rock;campainha de elevador;Música clássica;Animação;Comédia;Sombra;Minecraft Bedrock;Música infantil;Enviados recentemente
9;Tudo;Ao vivo;Música;Kygo;Henrique & Juliano;Música sertaneja;Lista de reprodução;Música brasileira;Rock clássico;Jogos;Anderson Freire;Contemporary worship music;Hard rock;Blues;Chill out;Animação;Comédia;Música indie;Minecraft Bedrock;Sombra;Enviados recentemente
