;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Todo;En directo;Videojuegos;Música;Kygo;Comedia;Chill out;El Rubius;Listas de reproducción;Reggaeton;Años 1980;Blues rock;Grand Theft Auto V;Álbumes;Piano;Minecraft;Juegos de plataformas;Guitarra;Rap;Subidas recientes;
1;Todo;En directo;Música;Videojuegos;Kygo;Comedia;Chill out;El Rubius;Reggaeton;Pop latino;Blues rock;Rock melódico;Álbumes de grandes éxitos;Piano;Historia;Juegos de acción y aventuras;Rap;Subidas recientes;;;
2;Todo;Videojuegos;Música;En directo;El Rubius;Bad Bunny;Deep house;Listas de reproducción;Risas;Tenis;Comedia;Pódcast;Pop latino;Pintura;Destinos turísticos;Música infantil;Música new age;Minecraft Bedrock;Coches;Audio comentario;Subidas recientes
3;Todo;En directo;Kygo;Videojuegos;Música;Chill out;Comedia;El Rubius;Listas de reproducción;Blues rock;Reggaeton;Pop latino;Música de fondo;Banda sonora;Historia;Juegos de acción y aventuras;Ciencia;Subidas recientes;;;
4;Todo;En directo;Videojuegos;Música;Kygo;Chill out;El Rubius;Comedia;Blues rock;Rock melódico;Bossa nova;Reggaeton;Pop latino;Historia;Música soul;Música clásica;Concursos televisivos;Juegos de acción y aventuras;Subidas recientes;;
5;Todo;En directo;Música;Kygo;Videojuegos;Comedia;Reggaeton;Álbumes;Reggae;Música soul;Pódcast;Electronic dance music;Naturaleza;Música pop;Juegos de plataformas;Juegos de acción y aventuras;Subidas recientes;;;;
6;Todo;En directo;Kygo;Videojuegos;Música;Música house;Chill out;El Rubius;Risas;Comedia;Blues rock;Reggaeton;Pop latino;Rock melódico;Piano;Historia;Juegos de acción y aventuras;Coches;Subidas recientes;;
7;Todo;En directo;Kygo;Música;Música house;Videojuegos;Chill out;El Rubius;Risas;Comedia;Reggaeton;Blues rock;Disco;Años 1980;Rock melódico;Música soul;Banda sonora;Música clásica;Música independiente;Historia;Subidas recientes
8;Todo;En directo;Música;Kygo;Listas de reproducción;Videojuegos;Bad Bunny;Blues;El Rubius;Comedia;Pop latino;Música libre;Música soul;Música de fondo;Música clásica;Música independiente;Historia;Juegos de acción y aventuras;Ciencia;Subidas recientes;
9;Todo;En directo;Videojuegos;Kygo;Música;Música house;El Rubius;Comedia;Chill out;Reggaeton;Jazz;Álbumes de grandes éxitos;Álbumes;Historia;Música clásica;Juegos de acción y aventuras;Rap;Subidas recientes;;;
