;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tudo;Ao vivo;Música;Kygo;Música sertaneja;Lista de reprodução;Música brasileira;Contemporary worship music;Blues-rock;Soul Music;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Jogos;Rock alternativo;Chill out;R&B;Animação;Palmeiras;Clube de Regatas do Flamengo;Música clássica;Sitcoms;Enviados recentemente
1;Tudo;Música;Ao vivo;Anderson Freire;Lista de reprodução;Contemporary worship music;Década de 1980;Rock clássico;violão acústico;Kygo;Música sertaneja;Soul Music;Música popular brasileira;Música brasileira;Blues;Jogos;Chill out;Piano;Música indie;Animação;Enviados recentemente
2;Tudo;Ao vivo;Música;Damares;Lista de reprodução;Deep House;Forró;Contemporary worship music;Rock clássico;Música brasileira;Jazz;Rock alternativo;Jogos;Música indie;campainha de elevador;Animação;Música clássica;Comédia;Copa Libertadores da América;Felipe Neto;Enviados recentemente
3;Tudo;Ao vivo;Música;Música sertaneja;Lista de reprodução;Deep House;Damares;Soft Rock;Contemporary worship music;Música brasileira;Soul Music;Jazz;Jogos;Rock alternativo;Banda sonora;Chill out;Animação;Piano;Comédia;Copa Libertadores da América;Enviados recentemente
4;Tudo;Jogos;Música;Ao vivo;Lista de reprodução;Coldplay;Música sertaneja;Álbuns;Copa Libertadores da América;Samba;Música popular brasileira;Sombra;Hip hop brasileiro;Contemporary worship music;Reggae;Animação;Hard rock;Chill out;Jazz;Comédia;Enviados recentemente
5;Tudo;Ao vivo;Música;Kygo;Anderson Freire;Lista de reprodução;Música sertaneja;Contemporary worship music;Música brasileira;Blues;Jogos;Hard rock;Música clássica;Música indie;Animação;Comédia;Copa Libertadores da América;Sombra;Minecraft Bedrock;Jogo de ação e aventura;Enviados recentemente
6;Tudo;Ao vivo;Música;Henrique & Juliano;Música sertaneja;Kygo;Música brasileira;Lista de reprodução;Contemporary worship music;Jogos;Copa Libertadores da América;Blues;Sitcoms;Comédia;Animação;Música New Age;Sombra;Felipe Neto;Telenovelas;Podcast;Enviados recentemente
7;Tudo;Ao vivo;Música;Kygo;Música sertaneja;Lista de reprodução;Música brasileira;Contemporary worship music;Blues;Jogos;Reggae;campainha de elevador;Música indie;Animação;Dublagens;Copa Libertadores da América;Música clássica;Comédia;Sombra;Minecraft Bedrock;Enviados recentemente
8;Tudo;Música;Ao vivo;Lista de reprodução;Hino;Soul Music;Kygo;Música sertaneja;Damares;Música brasileira;Jazz;Jogos;Chill out;Copa Libertadores da América;Música clássica;Animação;Comédia;Minijogo;Sombra;Música infantil;Enviados recentemente
9;Tudo;Música;Ao vivo;Damares;Contemporary worship music;Hino;Lista de reprodução;Coldplay;Música popular brasileira;Música brasileira;Jogos;Copa Libertadores da América;Billboard Hot 100;Blues;campainha de elevador;Animação;Música clássica;Comédia;Sombra;Minecraft Bedrock;Enviados recentemente
