;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tudo;Ao vivo;Música;Anderson Freire;Música sertaneja;Contemporary worship music;Hino;Música brasileira;Deep House;Lista de reprodução;Rock clássico;Jazz;Chill out;Jogos;Pop rock;Música clássica;Animação;Comédia;Clube de Regatas do Flamengo;Maquiagens;Enviados recentemente
1;Tudo;Ao vivo;Música;Henrique & Juliano;Anderson Freire;Música sertaneja;Contemporary worship music;Hino;Kygo;Música brasileira;Lista de reprodução;Jazz;Chill out;Jogos;Soul Music;Disco;Música do Romantismo;Rock alternativo;Animação;Dublagens;Enviados recentemente
2;Tudo;Música;Ao vivo;Henrique & Juliano;Anderson Freire;Música sertaneja;Contemporary worship music;Hino;Música brasileira;Deep House;Blues-rock;Lista de reprodução;Década de 1980;Chill out;Jogos;Pop rock;Dublagens;Animação;Música indie;Comédia;Enviados recentemente
3;Tudo;Jogos;Música;Ao vivo;Henrique & Juliano;Davi Sacer;Péricles;Marília Mendonça;Arrocha;Lista de reprodução;Copa Libertadores da América;Álbuns de maiores sucessos / Álbuns de grandes sucessos;Contemporary worship music;Sombra;Música brasileira;Música do Romantismo;Chill out;Deep House;Dublagens;Animação;Enviados recentemente
4;Tudo;Ao vivo;Música;Henrique & Juliano;Música sertaneja;Damares;Contemporary worship music;Hino;Música brasileira;Deep House;Blues-rock;Lista de reprodução;Chill out;Jogos;Música do Romantismo;Rock alternativo;Animação;Música clássica;Música indie;Comédia;Enviados recentemente
5;Tudo;Jogos;Música;Ao vivo;Música sertaneja;Davi Sacer;Lista de reprodução;Copa Libertadores da América;Gabriela Rocha;Contemporary worship music;Samba;Sombra;Música popular brasileira;Chill out;Deep House;Dublagens;Animação;Hard rock;Pop rock;Comédia;Enviados recentemente
6;Tudo;Música;Ao vivo;Anderson Freire;Hino;Contemporary worship music;Henrique & Juliano;Música sertaneja;Deep House;Música brasileira;Lista de reprodução;Rock clássico;Blues;Soul Music;Chill out;Jogos;Pop rock;Animação;Música indie;Música New Age;Enviados recentemente
7;Tudo;Música;Ao vivo;Anderson Freire;Contemporary worship music;Hino;Música sertaneja;Deep House;Música brasileira;Lista de reprodução;Rock clássico;Blues;Jogos;Música do Romantismo;Animação;Comédia;Copa Libertadores da América;Música infantil;Podcast;Sombra;Enviados recentemente
8;Tudo;Jogos;Música;Ao vivo;Música sertaneja;Davi Sacer;Lista de reprodução;Copa Libertadores da América;Álbuns;Samba;Hino;Sombra;Música popular brasileira;Contemporary worship music;Deep House;Chill out;Animação;Jazz;Comédia;Hip hop brasileiro;Enviados recentemente
9;Tudo;Ao vivo;Música;Henrique & Juliano;Música sertaneja;Música brasileira;Contemporary worship music;Hino;Deep House;Lista de reprodução;Rock clássico;Jazz;Chill out;Soul Music;Música do Romantismo;Jogos;Animação;Dublagens;Copa Libertadores da América;Comédia;Enviados recentemente
