;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tous;Musique;En direct;Kygo;Damares;Musiques d'adoration contemporaine;Listes de lecture;Música Popular Brasileira;Música sertaneja;Jeux vidéo;Albums;Musique brésilienne;Jazz;Soul;Chill-out;Animation;Comédie;Musique classique;Débats;Musiques pour enfants;Vidéos mises en ligne récemment
1;Tous;En direct;Musique;Listes de lecture;Ed Sheeran;Jeux vidéo;Música sertaneja;Musique brésilienne;Soul;House music;Musiques d'adoration contemporaine;Jazz;Rock alternatif;Animation;Sitcoms;Comédie;Musiques pour enfants;Minecraft pocket edition;Musique classique;Débats;Vidéos mises en ligne récemment
2;Tous;Musique;Jeux vidéo;En direct;Listes de lecture;Música Popular Brasileira;Música sertaneja;Péricles;Dua Lipa;Musiques d'adoration contemporaine;Animation;Sitcoms;Hard rock;Comédie;Jeux;Podcast;Blues;Débats;Hip-hop brésilien;Musiques pour enfants;Vidéos mises en ligne récemment
3;Tous;En direct;Musique;Deep house;Jeux vidéo;Música sertaneja;Listes de lecture;Albums;Doublage;Comédie dramatique;Comédie;Musiques d'ambiance;Jeux;Courses de Formule;Débats;Animes;Musiques pour enfants;Pop;Ensemble musical;Minecraft;Vidéos mises en ligne récemment
4;Tous;Musique;En direct;Kygo;Música Popular Brasileira;Listes de lecture;Anderson Freire;Música sertaneja;Blues rock;Jeux vidéo;Musique de danse;Samba;Animation;Comédie;Funk carioca;Musique New Age;Histoire;Débats;Minecraft pocket edition;Musiques pour enfants;Vidéos mises en ligne récemment
5;Tous;En direct;Musique;Música sertaneja;Kygo;Musique brésilienne;Jeux vidéo;Listes de lecture;Rock classique;Blues rock;Damares;Animation;Musique indépendante;Doublage;Musique classique;Musique New Age;Comédie;Minecraft pocket edition;Débats;Musiques pour enfants;Vidéos mises en ligne récemment
6;Tous;Jeux vidéo;Musique;En direct;Música sertaneja;Kygo;Listes de lecture;Música Popular Brasileira;Samba;Animation;Chill-out;Hymne;Musiques pour enfants;Musiques d'adoration contemporaine;Débats;Comédie;Musique de danse;Jazz;Cuisson au four;Minecraft pocket edition;Vidéos mises en ligne récemment
7;Tous;Jeux vidéo;Musique;En direct;Kygo;Listes de lecture;Música Popular Brasileira;Música sertaneja;Samba;Musiques d'adoration contemporaine;Chill-out;Hard rock;Animation;Débats;Musiques pour enfants;Jazz;Comédie;Piano;Soul;Minecraft pocket edition;Vidéos mises en ligne récemment
8;Tous;En direct;Musique;Coldplay;Listes de lecture;Jeux vidéo;Música sertaneja;Musiques d'adoration contemporaine;Musique brésilienne;Chill-out;Blues;Animation;Comédie;Musique indépendante;Traductions;Minecraft pocket edition;Musique New Age;Musique classique;Musiques pour enfants;Sciences;Vidéos mises en ligne récemment
9;Tous;Musique;En direct;Hymne;Musiques d'adoration contemporaine;Kygo;Música sertaneja;Listes de lecture;Musique brésilienne;Jazz;Jeux vidéo;Animation;Musiques d'ambiance;Comédie;Musique indépendante;Musiques pour enfants;Débats;Histoire;Jeux d'action et d'aventure;Sciences;Vidéos mises en ligne récemment
