;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;All;Live;Music;Gaming;Playlists;Lo-fi;Laughter;Background music;Comedy;Restaurants;Eating;Driving;Electronic dance music;Fish;Formula 1;Anime;Nature;Recently uploaded;;;
1;All;Live;Music;Deep House;Gaming;Comedy;Playlists;Game shows;Driving;Nature;Action-adventure games;Science;Recently uploaded;;;;;;;;
2;All;Music;New-Age Music;Laughter;Comedy;Aircrafts;Gaming;Basketball;Rock Music;Pop Music;Science;Conversation;Recently uploaded;;;;;;;;
3;All;Live;Music;Deep House;Gaming;Tourist destinations;Chill-out music;Playlists;Laughter;Comedy;New-Age Music;Jazz;Restaurants;KSI;Trains;History;Driving;Combat sports;Minecraft;Art;Recently uploaded
4;All;Live;Music;KSI;Laughter;Gaming;Deep House;Comedy;Tourist destinations;Restaurants;Eating;Playlists;Aircrafts;New-Age Music;Game shows;Driving;Highlight films;Prime Minister's Questions;Debates;Minecraft;Recently uploaded
5;All;Live;Gaming;Music;Laughter;Deep House;Comedy;Restaurants;KSI;Prime Minister's Questions;Eating;Balls;Driving;Combat sports;Teams;Nature;Minecraft;Action-adventure games;Pop Music;Conversation;Recently uploaded
6;All;Live;Music;Laughter;Deep House;Gaming;Background music;Playlists;Comedy;Restaurants;Tennis;Trains;Game shows;Combat sports;Rock Music;Cars;Conversation;Science;Recently uploaded;;
7;All;Live;Music;Gaming;Laughter;Deep House;Comedy;Gadgets;Gordon Ramsay;Chill-out music;Bossa Nova;Eating;Tennis;New-Age Music;Kicks;Cars;Pop Music;Rock Music;Conversation;Action-adventure games;Recently uploaded
8;All;Live;Music;Deep House;Gaming;Chill-out music;Laughter;Comedy;Background music;Tourist destinations;Restaurants;KSI;Driving;Eating;Classical Music;Game shows;Pop Music;Science;Conversation;Action-adventure games;Recently uploaded
9;All;Music;Live;Gaming;Laughter;Comedy;KSI;Deep House;Playlists;Restaurants;Chill-out music;Eating;Balls;Teams;Minecraft;Action-adventure games;Conversation;Cars;Science;Lessons;Recently uploaded
