;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tudo;Música;Ao vivo;Anderson Freire;Contemporary worship music;Hino;Kygo;Música sertaneja;Lista de reprodução;Música brasileira;Rock clássico;Blues;Chill out;Jogos;Música indie;R&B;Animação;Comédia;Copa Libertadores da América;Sombra;Enviados recentemente
1;Tudo;Música;Ao vivo;Anderson Freire;Hino;Lista de reprodução;Kygo;Música sertaneja;Música popular brasileira;Rock clássico;Jogos;Rock alternativo;Soul Music;Copa Libertadores da América;Chill out;Samba;Jazz;Música clássica;Animação;Comédia;Enviados recentemente
2;Tudo;Música;Ao vivo;Hino;Música popular brasileira;Lista de reprodução;Deep House;Música sertaneja;Blues;Jogos;Animação;Comédia/dramas;Comédia;Música indie;Felipe Neto;Dance/Eletrônica;Copa Libertadores da América;Panificação;Sombra;História;Enviados recentemente
3;Tudo;Jogos;Música;Ao vivo;Música sertaneja;Clube de Regatas do Flamengo;Lista de reprodução;Samba;Sombra;Contemporary worship music;Animação;Hino;Deep House;Hip hop brasileiro;Chill out;Comédia;Jazz;Pop rock;Música infantil;Música indie;Enviados recentemente
4;Tudo;Ao vivo;Música;Henrique & Juliano;Anderson Freire;Deep House;Gusttavo Lima;Contemporary worship music;Forró;Hino;Música brasileira;Lista de reprodução;Blues;Década de 1980;Jogos;Hard rock;Clube de Regatas do Flamengo;Chill out;Animação;Pop rock;Enviados recentemente
5;Tudo;Música;Ao vivo;Contemporary worship music;Kygo;Música sertaneja;Hino;Música brasileira;Lista de reprodução;Álbuns;Década de 1980;Rock clássico;Jogos;Chill out;Blues;Copa Libertadores da América;Animação;Música indie;Comédia;Música clássica;Enviados recentemente
6;Tudo;Ao vivo;Música;Música sertaneja;Contemporary worship music;Kygo;Hino;Música brasileira;Lista de reprodução;Álbuns;Chill out;Jazz;Jogos;Soul Music;R&B;Animação;Música clássica;Comédia;Clube de Regatas do Flamengo;Sombra;Enviados recentemente
7;Tudo;Ao vivo;Música;Música sertaneja;Damares;Hino;Contemporary worship music;Música brasileira;Deep House;Lista de reprodução;Chill out;Blues;Jogos;Soul Music;Música do Romantismo;campainha de elevador;Animação;Música indie;Sitcoms;Comédia;Enviados recentemente
8;Tudo;Música;Ao vivo;Anderson Freire;Contemporary worship music;Hino;Música sertaneja;Deep House;Música brasileira;Lista de reprodução;Jazz;Rock clássico;Música do Romantismo;Jogos;Pop rock;Chill out;Animação;Clube de Regatas do Flamengo;Música indie;Dublagens;Enviados recentemente
9;Tudo;Ao vivo;Música;Música sertaneja;Música brasileira;Contemporary worship music;Hino;Deep House;Lista de reprodução;Soul Music;Chill out;Jogos;Blues;Clube de Regatas do Flamengo;Hard rock;Pop rock;Música clássica;Animação;Comédia;Música New Age;Enviados recentemente
