;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;Tous;En direct;Musique;Kygo;Listes de lecture;Música sertaneja;Rock classique;Anderson Freire;Musique brésilienne;Soul;Blues;Jeux vidéo;Chill-out;Podcast;Comédie;Musique classique;Débats;Minecraft pocket edition;Musiques pour enfants;Comédies;Vidéos mises en ligne récemment
1;Tous;Musique;En direct;Listes de lecture;Damares;Musiques d'adoration contemporaine;Jazz;House music;Guitare acoustique;Musique brésilienne;Hard rock;Jeux vidéo;Comédie dramatique;Musique classique;Musiques pour enfants;Comédies;Sciences;Vidéos mises en ligne récemment;;;
2;Tous;En direct;Musique;Kygo;Jeux vidéo;Música sertaneja;Blues rock;Listes de lecture;Musique brésilienne;Soft rock;Albums;Débats;Musiques d'adoration contemporaine;Comédie;Podcast;Musique indépendante;Musiques d'ambiance;Musiques pour enfants;Nature;Comédies;Vidéos mises en ligne récemment
3;Tous;En direct;Musique;Listes de lecture;Jeux vidéo;Soft rock;Deep house;Musique brésilienne;Musiques d'adoration contemporaine;Hymne;Hard rock;Chill-out;Comédie;Débats;Musiques pour enfants;Comédies;Leçons;Minecraft;Sciences;Vidéos mises en ligne récemment;
4;Tous;En direct;Musique;Kygo;Listes de lecture;Jeux vidéo;Música sertaneja;Musique brésilienne;Anderson Freire;Chill-out;Hard rock;Animation;Comédie;Musique indépendante;Minecraft pocket edition;Musique classique;Musiques pour enfants;Débats;Art;Conversations;Vidéos mises en ligne récemment
5;Tous;En direct;Musique;Jeux vidéo;Kygo;Listes de lecture;Música sertaneja;Música Popular Brasileira;Musique brésilienne;Rock classique;Chill-out;Guitare acoustique;Blues;Musiques d'adoration contemporaine;Animation;Minecraft pocket edition;Comédie;Musique classique;Musique New Age;Débats;Vidéos mises en ligne récemment
6;Tous;En direct;Musique;Kygo;Listes de lecture;Bon Jovi;Música sertaneja;Musique brésilienne;Blues rock;Jeux vidéo;Musiques d'adoration contemporaine;Musique indépendante;Musique New Age;Débats;Minecraft pocket edition;Musiques pour enfants;Comédies;Leçons;Conversations;Jeu vidéo indépendant;Vidéos mises en ligne récemment
7;Tous;En direct;Musique;Jeux vidéo;Música sertaneja;Musique brésilienne;Minecraft pocket edition;Débats;Pop;Comédies;Vidéos mises en ligne récemment;;;;;;;;;;
8;Tous;En direct;Musique;Jeux vidéo;Listes de lecture;Henrique & Juliano;Música sertaneja;Kygo;Années 1980;Musique brésilienne;Hard rock;Chill-out;Jazz;Musiques d'adoration contemporaine;Animation;Comédie;Minecraft pocket edition;Musique indépendante;Débats;Musiques pour enfants;Vidéos mises en ligne récemment
9;Tous;Musique;En direct;Kygo;Listes de lecture;Música sertaneja;Musique brésilienne;Hymne;Jeux vidéo;Blues;Musique indépendante;Bande-son;Podcast;Musiques d'ambiance;Comédie;Débats;Musique classique;Minecraft pocket edition;Musiques pour enfants;Conversations;Vidéos mises en ligne récemment
