;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;All;Live;Music;Henrique & Juliano;Forró;Kygo;Brazilian Music;Playlists;Gaming;Acoustic Guitar;Animated films;Contemporary Worship Music;Indie Music;Freestyle Rap;Comedy;History;Podcasts;Children's Music;Nature;Action-adventure games;Recently uploaded
1;All;Live;Music;Henrique & Juliano;Sertanejo music;Kygo;Playlists;Brazilian Music;Classic Rock;Jazz;Gaming;Chill-out music;Hard Rock;Contemporary Worship Music;Animated films;Indie Music;Sitcoms;Classical Music;New-Age Music;Minecraft Bedrock;Recently uploaded
2;All;Live;Music;Henrique & Juliano;Forró;Brazilian Music;Kygo;Gaming;Playlists;Anderson Freire;Hymn;Acoustic Guitar;Blues music;Animated films;Sitcoms;Children's Music;Minecraft Bedrock;Indie Music;Action-adventure games;Lessons;Recently uploaded
3;All;Music;Live;Contemporary Worship Music;Sertanejo music;Playlists;Albums;Brazilian Music;Deep House;Classic Rock;Gaming;Animated films;Children's Music;Comedy;Action-adventure games;Recently uploaded;;;;;
4;All;Live;Music;Henrique & Juliano;Kygo;Gusttavo Lima;Brazilian Music;Playlists;Anderson Freire;Gaming;Hard Rock;Soul Music;Animated films;Pop Rock;Background music;Comedy;Minigame;Classical Music;Rhythm & Blues;Children's Music;Recently uploaded
5;All;Music;Live;Playlists;Hard Rock;Sertanejo music;Deep House;Brazilian Music;Gaming;Contemporary Worship Music;Piano;Pop Rock;Comedy;Action-adventure games;Recently uploaded;;;;;;
6;All;Live;Music;Sertanejo music;Playlists;Brazilian Music;Coldplay;Gaming;Alternative Rock;Contemporary Worship Music;Indie Music;Classical Music;Comedy;New-Age Music;Lessons;Action-adventure games;Recently uploaded;;;;
7;All;Live;Music;Forró;Sertanejo music;Playlists;Deep House;Brazilian Music;Gaming;Hard Rock;Blues music;Contemporary Worship Music;Animated films;Indie Music;Comedy;Action-adventure games;Recently uploaded;;;;
8;All;Music;Live;Playlists;Sertanejo music;Contemporary Worship Music;Brazilian Music;Gaming;Chill-out music;Indie Music;Dramedy;Classical Music;Guitar;Electronic Music;Rapping;Comedy;Minecraft;Recently uploaded;;;
9;All;Live;Music;Kygo;Sertanejo music;Coldplay;Brazilian Music;Playlists;Soul Music;Gaming;Chill-out music;Contemporary Worship Music;Alternative Rock;Animated films;Background music;Children's Music;Classical Music;Comedy;Minecraft Bedrock;Action-adventure games;Recently uploaded
