;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;All;Live;Music;Deep House;Gaming;Laughter;Comedy;Chill-out music;Playlists;Restaurants;Jazz;KSI;Eating;Aircrafts;Highlight films;History;Nature;Cars;Action-adventure games;Conversation;Recently uploaded
1;All;Live;Music;Deep House;Gaming;Chill-out music;Laughter;Comedy;Aircrafts;Restaurants;Albums;Eating;Teams;Indie Music;Conversation;Cars;Role-Playing Games;Science;Recently uploaded;;
2;All;Live;Gaming;Music;Tourist destinations;Laughter;Comedy;Kicks;Eating;Tennis;Supercar;Prime Minister's Questions;History;Car Racing;Dogs;Wildlife;Combat sports;Action-adventure games;Pop Music;Conversation;Recently uploaded
3;All;Gaming;Music;Live;KSI;Chill-out music;Game shows;Comedy;Laughter;Deep House;Restaurants;Aircrafts;Tourist destinations;Eating;Action-adventure games;Pop Music;Nature;Conversation;Rock Music;Science;Recently uploaded
4;All;Live;Music;Gaming;Laughter;Tourist destinations;Comedy;Stranger Things;Restaurants;New-Age Music;KSI;Eating;Wildlife;Driving;Combat sports;Debates;Pop Music;Art;Action-adventure games;Recently uploaded;
5;All;Live;Music;Gaming;Tourist destinations;Laughter;Comedy;KSI;Tennis;New-Age Music;Driving;Baking;Wildlife;Cooking shows;Combat sports;Teams;Pop Music;Minecraft;Action-adventure games;Conversation;Recently uploaded
6;All;Gaming;Music;Live;KSI;Chill-out music;Game shows;Deep House;Restaurants;Laughter;Comedy;Highlight films;Aircrafts;Children's Music;Eating;Action-adventure games;Pop Music;Conversation;Rock Music;Science;Recently uploaded
7;All;Music;Live;Gaming;Chill-out music;Playlists;Laughter;Deep House;Comedy;Aircrafts;Smartphones;Gordon Ramsay;KSI;Game shows;Classical Music;Baking;Combat sports;Nature;Rock Music;Art;Recently uploaded
8;All;Live;Music;Gaming;Laughter;Comedy;Game shows;Stranger Things;New-Age Music;Tennis;Tourist destinations;Driving;Eating;Combat sports;Fashion;Action-adventure games;Pop Music;Conversation;Art;Science;Recently uploaded
9;All;Live;Music;Gaming;Deep House;Laughter;Tourist destinations;KSI;Comedy;Jazz;New-Age Music;History;Driving;Game shows;Dogs;Pop Music;Action-adventure games;Conversation;Science;Recently uploaded;
